Ticket ID,Call Started,Call Ended,Turn,Full String,Total,EOU,LLM,TTS
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",1,"1.964 (EOU: 0.600, LLM: 1.137, TTS: 0.227)",1.964,0.6,1.137,0.227
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",2,"1.975 (EOU: 0.613, LLM: 1.117, TTS: 0.245)",1.975,0.613,1.117,0.245
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",3,"2.312 (EOU: 0.596, LLM: 1.493, TTS: 0.224)",2.312,0.596,1.493,0.224
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",4,"2.510 (EOU: 0.775, LLM: 1.488, TTS: 0.247)",2.51,0.775,1.488,0.247
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",5,"2.838 (EOU: 0.607, LLM: 2.009, TTS: 0.223)",2.838,0.607,2.009,0.223
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",6,"2.358 (EOU: 0.964, LLM: 1.137, TTS: 0.257)",2.358,0.964,1.137,0.257
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",7,"2.643 (EOU: 1.066, LLM: 1.319, TTS: 0.258)",2.643,1.066,1.319,0.258
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",8,"2.046 (EOU: 0.599, LLM: 1.213, TTS: 0.234)",2.046,0.599,1.213,0.234
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",9,"4.907 (EOU: 1.128, LLM: 3.548, TTS: 0.230)",4.907,1.128,3.548,0.23
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",10,"7.219 (EOU: 6.001, LLM: 1.007, TTS: 0.212)",7.219,6.001,1.007,0.212
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",11,"1.964 (EOU: 0.600, LLM: 1.137, TTS: 0.227)",1.964,0.6,1.137,0.227
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",12,"1.975 (EOU: 0.613, LLM: 1.117, TTS: 0.245)",1.975,0.613,1.117,0.245
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",13,"2.312 (EOU: 0.596, LLM: 1.493, TTS: 0.224)",2.312,0.596,1.493,0.224
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",14,"2.510 (EOU: 0.775, LLM: 1.488, TTS: 0.247)",2.51,0.775,1.488,0.247
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",15,"2.838 (EOU: 0.607, LLM: 2.009, TTS: 0.223)",2.838,0.607,2.009,0.223
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",16,"2.358 (EOU: 0.964, LLM: 1.137, TTS: 0.257)",2.358,0.964,1.137,0.257
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",17,"2.643 (EOU: 1.066, LLM: 1.319, TTS: 0.258)",2.643,1.066,1.319,0.258
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",18,"2.046 (EOU: 0.599, LLM: 1.213, TTS: 0.234)",2.046,0.599,1.213,0.234
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",19,"4.907 (EOU: 1.128, LLM: 3.548, TTS: 0.230)",4.907,1.128,3.548,0.23
17973,"Nov 18, 12:58 PM","Nov 18, 1:01 PM",20,"7.219 (EOU: 6.001, LLM: 1.007, TTS: 0.212)",7.219,6.001,1.007,0.212
17921,"Nov 15, 9:44 AM","Nov 15, 9:44 AM",1,"1.665 (EOU: 0.593, LLM: 0.823, TTS: 0.249)",1.665,0.593,0.823,0.249
17921,"Nov 15, 9:44 AM","Nov 15, 9:44 AM",2,"1.665 (EOU: 0.593, LLM: 0.823, TTS: 0.249)",1.665,0.593,0.823,0.249
17915,"Nov 15, 9:43 AM","Nov 15, 9:44 AM",1,"1.664 (EOU: 0.591, LLM: 0.846, TTS: 0.227)",1.664,0.591,0.846,0.227
17915,"Nov 15, 9:43 AM","Nov 15, 9:44 AM",2,"1.664 (EOU: 0.591, LLM: 0.846, TTS: 0.227)",1.664,0.591,0.846,0.227
