Ticket ID,Call Started,Call Ended,Turn,Full String,Total,EOU,LLM,TTS
3527,"Nov 21, 10:05 AM","Nov 21, 10:06 AM",1,"7.472 (EOU: 6.001, LLM: 1.261, TTS: 0.210)",7.472,6.001,1.261,0.21
3527,"Nov 21, 10:05 AM","Nov 21, 10:06 AM",2,"7.472 (EOU: 6.001, LLM: 1.261, TTS: 0.210)",7.472,6.001,1.261,0.21
3526,"Nov 21, 9:23 AM","Nov 21, 9:25 AM",1,"2.156 (EOU: 0.589, LLM: 1.336, TTS: 0.230)",2.156,0.589,1.336,0.23
3526,"Nov 21, 9:23 AM","Nov 21, 9:25 AM",2,"2.162 (EOU: 0.597, LLM: 1.352, TTS: 0.213)",2.162,0.597,1.352,0.213
3526,"Nov 21, 9:23 AM","Nov 21, 9:25 AM",3,"1.871 (EOU: 0.593, LLM: 1.040, TTS: 0.237)",1.871,0.593,1.04,0.237
3526,"Nov 21, 9:23 AM","Nov 21, 9:25 AM",4,"2.753 (EOU: 1.356, LLM: 1.136, TTS: 0.261)",2.753,1.356,1.136,0.261
3526,"Nov 21, 9:23 AM","Nov 21, 9:25 AM",5,"7.148 (EOU: 6.001, LLM: 0.931, TTS: 0.216)",7.148,6.001,0.931,0.216
3526,"Nov 21, 9:23 AM","Nov 21, 9:25 AM",6,"2.156 (EOU: 0.589, LLM: 1.336, TTS: 0.230)",2.156,0.589,1.336,0.23
3526,"Nov 21, 9:23 AM","Nov 21, 9:25 AM",7,"2.162 (EOU: 0.597, LLM: 1.352, TTS: 0.213)",2.162,0.597,1.352,0.213
3526,"Nov 21, 9:23 AM","Nov 21, 9:25 AM",8,"1.871 (EOU: 0.593, LLM: 1.040, TTS: 0.237)",1.871,0.593,1.04,0.237
3526,"Nov 21, 9:23 AM","Nov 21, 9:25 AM",9,"2.753 (EOU: 1.356, LLM: 1.136, TTS: 0.261)",2.753,1.356,1.136,0.261
3526,"Nov 21, 9:23 AM","Nov 21, 9:25 AM",10,"7.148 (EOU: 6.001, LLM: 0.931, TTS: 0.216)",7.148,6.001,0.931,0.216
3521,"Nov 21, 9:01 AM","Nov 21, 9:02 AM",1,"2.050 (EOU: 0.599, LLM: 1.223, TTS: 0.228)",2.05,0.599,1.223,0.228
3521,"Nov 21, 9:01 AM","Nov 21, 9:02 AM",2,"1.899 (EOU: 0.601, LLM: 1.083, TTS: 0.216)",1.899,0.601,1.083,0.216
3521,"Nov 21, 9:01 AM","Nov 21, 9:02 AM",3,"2.000 (EOU: 0.726, LLM: 0.994, TTS: 0.280)",2.0,0.726,0.994,0.28
3521,"Nov 21, 9:01 AM","Nov 21, 9:02 AM",4,"2.050 (EOU: 0.599, LLM: 1.223, TTS: 0.228)",2.05,0.599,1.223,0.228
3521,"Nov 21, 9:01 AM","Nov 21, 9:02 AM",5,"1.899 (EOU: 0.601, LLM: 1.083, TTS: 0.216)",1.899,0.601,1.083,0.216
3521,"Nov 21, 9:01 AM","Nov 21, 9:02 AM",6,"2.000 (EOU: 0.726, LLM: 0.994, TTS: 0.280)",2.0,0.726,0.994,0.28
3520,"Nov 21, 8:59 AM","Nov 21, 9:00 AM",1,"11.814 (EOU: 10.343, LLM: 1.246, TTS: 0.225)",11.814,10.343,1.246,0.225
3520,"Nov 21, 8:59 AM","Nov 21, 9:00 AM",2,"9.246 (EOU: 7.708, LLM: 1.318, TTS: 0.220)",9.246,7.708,1.318,0.22
3520,"Nov 21, 8:59 AM","Nov 21, 9:00 AM",3,"15.611 (EOU: 14.372, LLM: 1.022, TTS: 0.217)",15.611,14.372,1.022,0.217
3520,"Nov 21, 8:59 AM","Nov 21, 9:00 AM",4,"11.814 (EOU: 10.343, LLM: 1.246, TTS: 0.225)",11.814,10.343,1.246,0.225
3520,"Nov 21, 8:59 AM","Nov 21, 9:00 AM",5,"9.246 (EOU: 7.708, LLM: 1.318, TTS: 0.220)",9.246,7.708,1.318,0.22
3520,"Nov 21, 8:59 AM","Nov 21, 9:00 AM",6,"15.611 (EOU: 14.372, LLM: 1.022, TTS: 0.217)",15.611,14.372,1.022,0.217
3517,"Nov 21, 8:29 AM","Nov 21, 8:30 AM",1,"1.759 (EOU: 0.598, LLM: 0.932, TTS: 0.229)",1.759,0.598,0.932,0.229
3517,"Nov 21, 8:29 AM","Nov 21, 8:30 AM",2,"1.962 (EOU: 0.606, LLM: 1.141, TTS: 0.215)",1.962,0.606,1.141,0.215
3517,"Nov 21, 8:29 AM","Nov 21, 8:30 AM",3,"1.759 (EOU: 0.598, LLM: 0.932, TTS: 0.229)",1.759,0.598,0.932,0.229
3517,"Nov 21, 8:29 AM","Nov 21, 8:30 AM",4,"1.962 (EOU: 0.606, LLM: 1.141, TTS: 0.215)",1.962,0.606,1.141,0.215
3516,"Nov 21, 8:08 AM","Nov 21, 8:09 AM",1,"2.750 (EOU: 0.986, LLM: 1.549, TTS: 0.215)",2.75,0.986,1.549,0.215
3516,"Nov 21, 8:08 AM","Nov 21, 8:09 AM",2,"2.750 (EOU: 0.986, LLM: 1.549, TTS: 0.215)",2.75,0.986,1.549,0.215
3515,"Nov 21, 8:06 AM","Nov 21, 8:07 AM",1,"2.218 (EOU: 0.911, LLM: 1.088, TTS: 0.219)",2.218,0.911,1.088,0.219
3515,"Nov 21, 8:06 AM","Nov 21, 8:07 AM",2,"1.866 (EOU: 0.598, LLM: 1.052, TTS: 0.216)",1.866,0.598,1.052,0.216
3515,"Nov 21, 8:06 AM","Nov 21, 8:07 AM",3,"2.218 (EOU: 0.911, LLM: 1.088, TTS: 0.219)",2.218,0.911,1.088,0.219
3515,"Nov 21, 8:06 AM","Nov 21, 8:07 AM",4,"1.866 (EOU: 0.598, LLM: 1.052, TTS: 0.216)",1.866,0.598,1.052,0.216
3514,"Nov 21, 8:05 AM","Nov 21, 8:06 AM",1,"2.614 (EOU: 1.049, LLM: 1.334, TTS: 0.231)",2.614,1.049,1.334,0.231
3514,"Nov 21, 8:05 AM","Nov 21, 8:06 AM",2,"2.614 (EOU: 1.049, LLM: 1.334, TTS: 0.231)",2.614,1.049,1.334,0.231
3514,"Nov 21, 8:05 AM","Nov 21, 8:06 AM",1,"2.614 (EOU: 1.049, LLM: 1.334, TTS: 0.231)",2.614,1.049,1.334,0.231
3514,"Nov 21, 8:05 AM","Nov 21, 8:06 AM",2,"2.614 (EOU: 1.049, LLM: 1.334, TTS: 0.231)",2.614,1.049,1.334,0.231
3509,"Nov 21, 7:24 AM","Nov 21, 7:25 AM",1,"3.445 (EOU: 2.265, LLM: 0.961, TTS: 0.219)",3.445,2.265,0.961,0.219
3509,"Nov 21, 7:24 AM","Nov 21, 7:25 AM",2,"7.567 (EOU: 6.002, LLM: 1.342, TTS: 0.224)",7.567,6.002,1.342,0.224
3509,"Nov 21, 7:24 AM","Nov 21, 7:25 AM",3,"2.845 (EOU: 1.681, LLM: 0.949, TTS: 0.215)",2.845,1.681,0.949,0.215
3509,"Nov 21, 7:24 AM","Nov 21, 7:25 AM",4,"5.604 (EOU: 3.934, LLM: 1.441, TTS: 0.228)",5.604,3.934,1.441,0.228
3509,"Nov 21, 7:24 AM","Nov 21, 7:25 AM",5,"12.584 (EOU: 10.973, LLM: 1.391, TTS: 0.220)",12.584,10.973,1.391,0.22
3509,"Nov 21, 7:24 AM","Nov 21, 7:25 AM",6,"3.445 (EOU: 2.265, LLM: 0.961, TTS: 0.219)",3.445,2.265,0.961,0.219
3509,"Nov 21, 7:24 AM","Nov 21, 7:25 AM",7,"7.567 (EOU: 6.002, LLM: 1.342, TTS: 0.224)",7.567,6.002,1.342,0.224
3509,"Nov 21, 7:24 AM","Nov 21, 7:25 AM",8,"2.845 (EOU: 1.681, LLM: 0.949, TTS: 0.215)",2.845,1.681,0.949,0.215
3509,"Nov 21, 7:24 AM","Nov 21, 7:25 AM",9,"5.604 (EOU: 3.934, LLM: 1.441, TTS: 0.228)",5.604,3.934,1.441,0.228
3509,"Nov 21, 7:24 AM","Nov 21, 7:25 AM",10,"12.584 (EOU: 10.973, LLM: 1.391, TTS: 0.220)",12.584,10.973,1.391,0.22
3508,"Nov 20, 6:50 PM","Nov 20, 6:51 PM",1,"1.889 (EOU: 0.627, LLM: 1.046, TTS: 0.216)",1.889,0.627,1.046,0.216
3508,"Nov 20, 6:50 PM","Nov 20, 6:51 PM",2,"1.767 (EOU: 0.602, LLM: 0.942, TTS: 0.223)",1.767,0.602,0.942,0.223
3508,"Nov 20, 6:50 PM","Nov 20, 6:51 PM",3,"1.971 (EOU: 0.604, LLM: 1.144, TTS: 0.223)",1.971,0.604,1.144,0.223
3505,"Nov 20, 4:05 PM","Nov 20, 4:06 PM",1,"2.292 (EOU: 0.602, LLM: 1.452, TTS: 0.238)",2.292,0.602,1.452,0.238
3505,"Nov 20, 4:05 PM","Nov 20, 4:06 PM",2,"2.368 (EOU: 0.625, LLM: 1.506, TTS: 0.237)",2.368,0.625,1.506,0.237
3505,"Nov 20, 4:05 PM","Nov 20, 4:06 PM",3,"2.292 (EOU: 0.602, LLM: 1.452, TTS: 0.238)",2.292,0.602,1.452,0.238
3505,"Nov 20, 4:05 PM","Nov 20, 4:06 PM",4,"2.368 (EOU: 0.625, LLM: 1.506, TTS: 0.237)",2.368,0.625,1.506,0.237
3480,"Nov 20, 12:01 PM","Nov 20, 12:04 PM",1,"1.832 (EOU: 0.589, LLM: 1.007, TTS: 0.236)",1.832,0.589,1.007,0.236
3480,"Nov 20, 12:01 PM","Nov 20, 12:04 PM",2,"7.216 (EOU: 6.000, LLM: 0.991, TTS: 0.224)",7.216,6.0,0.991,0.224
